City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Cidreira,BR,-30.1811,-50.2056,63.14,95,100,8.5,heavy intensity rain
Anapskaya,RU,44.89,37.38,66.43,82,20,2.89,few clouds
Ancud,CL,-41.8697,-73.8203,51.42,61,91,11.34,overcast clouds
Ukiah,US,39.1502,-123.2078,80.02,63,1,3.44,clear sky
Chingirlau,KZ,51.095,54.0814,71.94,47,91,10.11,overcast clouds
Fare,PF,-16.7,-151.0167,79.36,72,28,3.36,scattered clouds
Korla,CN,41.7597,86.1469,82.02,21,4,8.41,clear sky
Wolfsburg,DE,52.4333,10.8,61.09,71,23,8.12,few clouds
Gilbues,BR,-9.8317,-45.3439,92.66,22,11,6.22,few clouds
Zharkovskiy,RU,55.849,32.2697,60.71,68,34,5.32,scattered clouds
Luanda,AO,-8.8368,13.2343,82.4,74,0,8.05,clear sky
Zeya,RU,53.75,127.2667,45.28,95,100,4.59,overcast clouds
Ca+Mau,VN,9.1769,105.15,78.58,90,30,3.65,scattered clouds
Sarangani,PH,5.4033,125.4636,83.61,74,17,8.43,few clouds
Kassala,SD,15.451,36.4,100.81,16,54,8.16,broken clouds
Priyutnoye,RU,46.1011,43.5072,71.8,57,26,8.12,scattered clouds
Proddatur,IN,14.7333,78.55,95.77,30,16,8.9,few clouds
Santiago,CL,-33.4569,-70.6483,66.16,55,21,3.44,few clouds
Peterhead,GB,57.5058,-1.7981,56.44,88,6,9.75,clear sky
Sortland,NO,68.6949,15.4162,49.35,57,31,6.8,scattered clouds
Chulumani,BO,-16.4096,-67.5263,80.04,43,89,4.61,overcast clouds
Varia,FR,44.5725,-0.1104,82.85,49,94,7.18,overcast clouds
West+Wendover,US,40.7391,-114.0733,70.81,23,1,11.5,clear sky
Ainazi,LV,57.8636,24.3578,50.72,74,28,7.52,scattered clouds
Pevek,RU,69.7008,170.3133,35.58,75,91,4.32,overcast clouds
Mombasa,KE,-4.0547,39.6636,77.41,78,75,3.44,broken clouds
Mana,GF,5.6592,-53.7767,79.43,89,99,9.1,overcast clouds
Peleduy,RU,59.6289,112.7406,52.75,69,88,2.64,overcast clouds
Mandalgovi,MN,45.7625,106.2708,56.26,52,60,19.86,broken clouds
Ambulu,ID,-8.345,113.6058,75.65,92,74,2.42,broken clouds
Solnechnyy,RU,50.7214,136.6319,45.77,81,71,1.88,broken clouds
Biloela,AU,-24.4167,150.5,48.96,59,75,7.87,broken clouds
Acopiara,BR,-6.0953,-39.4525,89.44,41,87,5.39,overcast clouds
Broken+Hill,AU,-31.95,141.4333,46.11,76,100,12.66,overcast clouds
Klaksvik,FO,62.2266,-6.589,49.12,84,65,15.59,broken clouds
Hatillo,PR,18.4863,-66.8254,88.3,68,4,14.38,clear sky
Luau,AO,-10.7073,22.2247,66.96,40,22,4.85,few clouds
Mbandaka,CD,0.0487,18.2603,78.91,73,89,3.13,light rain
Basco,PH,20.4487,121.9702,84.88,73,91,11.74,overcast clouds
Zaysan,KZ,47.4667,84.8667,59.41,34,0,5.53,clear sky
Mugla,TR,37.2303,28.3557,63.27,56,0,4.56,clear sky
Changli,CN,39.7042,119.1506,61.41,51,64,4.81,broken clouds
Nabire,ID,-3.3667,135.4833,76.32,92,72,3.0,broken clouds
Kabinda,CD,-6.1333,24.4833,75.51,49,94,3.58,overcast clouds
Mayumba,GA,-3.432,10.6554,78.35,87,92,5.66,light rain
Williston,US,48.147,-103.618,56.57,58,93,8.01,overcast clouds
Finschhafen,PG,-6.6024,147.8681,78.1,86,100,6.89,overcast clouds
Tinskoy,RU,56.1525,96.9161,39.16,84,95,10.56,overcast clouds
Mbuji-Mayi,CD,-6.15,23.6,80.4,44,66,2.51,broken clouds
Nantucket,US,41.2835,-70.0995,62.71,51,1,14.97,clear sky
Las+Vegas,US,36.175,-115.1372,93.18,13,1,3.44,clear sky
Yei,SS,4.095,30.6779,70.48,91,75,3.65,light rain
Shaunavon,CA,49.6501,-108.4181,58.78,33,72,23.4,broken clouds
Freeport,US,40.6576,-73.5832,69.4,51,20,13.0,few clouds
Aligudarz,IR,33.4006,49.6949,67.55,21,46,2.44,scattered clouds
Kudahuvadhoo,MV,2.6708,72.8944,83.73,72,87,20.15,overcast clouds
Santana+Do+Livramento,BR,-30.8908,-55.5328,61.56,99,100,3.49,light rain
Haines+Junction,CA,60.7522,-137.5108,46.35,57,100,2.3,overcast clouds
Bridlington,GB,54.0831,-0.1919,62.01,92,89,10.92,overcast clouds
Shenjiamen,CN,29.9576,122.298,67.64,75,100,6.6,overcast clouds
Gao,ML,16.6362,1.637,106.02,11,95,12.08,overcast clouds
Rayevskiy,RU,54.0658,54.9468,64.96,69,5,4.68,clear sky
Bull+Savanna,JM,17.8868,-77.5902,83.25,62,50,7.2,light rain
Sal+Rei,CV,16.1833,-22.9167,77.2,61,40,19.57,scattered clouds
Honningsvag,NO,70.9821,25.9704,35.35,60,75,19.57,broken clouds
Gweta,BW,-20.1833,25.2333,67.64,19,0,7.38,clear sky
Iquique,CL,-20.2208,-70.1431,69.84,77,40,5.39,scattered clouds
Bara,NG,10.3744,10.7288,101.98,22,48,10.38,scattered clouds
Sapernoye,RU,60.7167,29.9505,55.2,87,94,6.71,overcast clouds
Along,IN,28.1667,94.7667,72.88,88,44,1.57,scattered clouds
Kushima,JP,31.4583,131.2333,71.11,86,100,11.45,overcast clouds
Khash,IR,28.2211,61.2158,83.08,11,0,9.66,clear sky
Dalton,US,34.7698,-84.9702,82.98,75,75,1.01,broken clouds
Havoysund,NO,70.9963,24.6622,36.48,61,99,19.04,overcast clouds
Nishihara,JP,26.1842,127.7558,77.05,94,75,11.54,light rain
Rocha,UY,-34.4833,-54.3333,68.59,62,30,9.1,scattered clouds
Namibe,AO,-15.1961,12.1522,74.68,70,0,9.33,clear sky
Camacha,PT,33.0833,-16.3333,71.53,64,20,10.36,few clouds
Chapais,CA,49.7834,-74.8492,40.78,22,1,11.74,clear sky
South+Lake+Tahoe,US,38.9332,-119.9844,68.77,43,1,5.75,clear sky
Cravo+Norte,CO,6.3017,-70.2041,83.57,69,57,5.03,broken clouds
Kasongo-Lunda,CD,-6.4667,16.8167,77.41,48,30,2.42,scattered clouds
Oulainen,FI,64.2667,24.8,50.81,47,13,8.37,few clouds
Ambovombe,MG,-25.1667,46.0833,67.96,82,0,7.49,clear sky
Kundiawa,PG,-6.0167,144.9667,63.48,99,95,1.23,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,39.83,87,8,7.54,clear sky
Dong+Hoi,VN,17.4833,106.6,80.83,85,86,6.24,overcast clouds
Torbay,CA,47.6666,-52.7314,53.89,53,40,21.85,scattered clouds
Majene,ID,-3.5403,118.9707,78.42,89,14,9.8,few clouds
Ambon,ID,-3.6954,128.1814,77.14,94,40,9.73,light rain
Digby,CA,44.6169,-65.7655,54.55,44,85,9.35,overcast clouds
Beyla,GN,8.6833,-8.6333,76.26,83,92,3.67,moderate rain
Aden,YE,12.7794,45.0367,89.13,60,100,6.71,overcast clouds
Amazar,RU,53.858,120.875,44.74,95,100,3.91,overcast clouds
Shakhtinsk,KZ,49.71,72.5872,52.36,39,0,14.81,clear sky
Balikpapan,ID,-1.2675,116.8289,77.13,88,54,1.23,broken clouds
Araouane,ML,18.9048,-3.5265,108.97,7,28,21.45,scattered clouds
Egvekinot,RU,66.3167,-179.1667,28.49,75,34,9.73,scattered clouds
Teya,RU,60.3778,92.6267,34.95,97,100,9.06,light rain
Bonthe,SL,7.5264,-12.505,84.9,70,88,8.99,light rain
Bolshaya+Rechka,RU,51.9503,104.7355,44.87,93,79,1.43,moderate rain
Porto+Novo,BJ,6.4965,2.6036,87.62,71,85,10.54,overcast clouds
Kenai,US,60.5544,-151.2583,48.02,93,90,8.05,light rain
Hervey+Bay,AU,-25.2986,152.8535,55.51,64,39,13.56,scattered clouds
Broome,US,42.2506,-75.833,57.0,80,90,8.88,light rain
Srandakan,ID,-7.9386,110.2506,62.73,92,39,4.47,scattered clouds
Paragominas,BR,-2.9667,-47.4833,90.73,44,6,2.57,clear sky
Okhotsk,RU,59.3833,143.3,35.28,88,99,11.12,overcast clouds
Uruzgan,AF,32.8333,66.0,74.8,16,1,0.13,clear sky
Mareeba,AU,-17.0,145.4333,63.32,97,11,2.59,few clouds
Praxedis+Guerrero,MX,31.3667,-106.0167,88.29,8,0,8.88,clear sky
Koungou,YT,-12.7336,45.2042,78.51,69,0,5.97,clear sky
Bartica,GY,6.4,-58.6167,79.12,94,94,2.15,light rain
Atar,MR,20.5169,-13.0499,104.5,13,76,10.89,broken clouds
Price,US,39.5994,-110.8107,76.12,15,1,8.05,clear sky
Marsh+Harbour,BS,26.5412,-77.0636,78.19,72,57,9.55,broken clouds
Lubumbashi,CD,-11.6609,27.4794,60.1,44,0,1.45,clear sky
Newberry,US,34.2746,-81.6187,88.52,65,14,14.05,few clouds
Sinnamary,GF,5.3833,-52.95,79.5,89,80,9.69,broken clouds
Tuy+Hoa,VN,13.0833,109.3,79.68,89,100,6.17,overcast clouds
Trofors,NO,65.5333,13.4063,47.77,42,69,5.73,broken clouds
Mvangue,CM,2.9667,11.5167,72.36,95,88,2.59,light rain
Fairbanks,US,64.8378,-147.7164,43.21,55,1,14.97,clear sky
Tadine,NC,-21.55,167.8833,69.22,75,18,11.05,few clouds
Westport,US,41.1415,-73.3579,68.45,49,1,1.01,clear sky
Torbat-E+Jam,IR,35.244,60.6225,80.94,23,0,13.35,clear sky
Lerwick,GB,60.1545,-1.1494,50.0,77,90,7.25,overcast clouds
Kushiro,JP,42.975,144.3747,45.39,96,100,6.93,overcast clouds
Rio+Grande,BR,-32.035,-52.0986,62.94,87,100,9.6,moderate rain
Rengo,CL,-34.4167,-70.8667,61.12,55,52,3.8,broken clouds
Hualmay,PE,-11.0964,-77.6139,70.86,75,44,9.13,scattered clouds
Debre+Birhan,ET,9.6833,39.5333,54.01,42,27,5.35,scattered clouds
Charters+Towers,AU,-20.1,146.2667,53.65,32,1,9.55,clear sky
Pochutla,MX,15.7432,-96.4661,92.82,46,93,6.64,overcast clouds
Umm+Kaddadah,SD,13.6017,26.6876,97.57,8,29,13.18,scattered clouds
Havelock,US,34.8791,-76.9013,95.05,69,1,7.0,clear sky
Pailon,BO,-17.65,-62.75,85.1,42,100,18.9,overcast clouds
Witu,KE,-2.3889,40.4382,77.49,76,13,12.57,few clouds
Sioux+Lookout,CA,50.1001,-91.917,53.67,35,1,5.75,clear sky
Kirkwall,GB,58.9848,-2.9587,50.34,81,75,6.91,broken clouds
Poum,NC,-20.2333,164.0167,72.5,71,4,18.81,clear sky
Cordoba,AR,-31.4135,-64.1811,75.42,38,0,10.0,clear sky
Salina,US,38.8403,-97.6114,59.85,71,90,11.5,overcast clouds
Bamiantong,CN,44.9333,130.5333,46.31,95,86,1.7,overcast clouds
Ivankiv,UA,50.9386,29.8943,66.43,86,100,5.32,overcast clouds
Bang+Krathum,TH,16.5783,100.3003,80.82,84,82,5.46,light rain
Cururupu,BR,-1.8283,-44.8683,86.0,60,31,5.79,light rain
Oriximina,BR,-1.7656,-55.8661,84.99,69,22,3.96,few clouds
Biak,ID,-0.9131,122.8766,76.77,85,35,6.96,scattered clouds
Lodja,CD,-3.4833,23.4333,81.41,53,99,2.28,overcast clouds
Meridian,US,43.6121,-116.3915,62.35,44,1,4.0,clear sky
Airai,TL,-8.9266,125.4092,58.26,95,61,3.74,broken clouds
Ucluelet,CA,48.9329,-125.5528,57.09,82,91,3.0,overcast clouds
Antalaha,MG,-14.9003,50.2788,72.61,86,1,8.63,clear sky
Jaisalmer,IN,26.9147,70.9181,99.19,24,0,17.56,clear sky
Kulykiv,UA,50.3142,24.8176,55.67,87,100,4.43,overcast clouds
Dunedin,NZ,-45.8742,170.5036,48.79,84,100,7.0,overcast clouds
Twin+Falls,US,42.3505,-114.6445,58.89,44,1,11.74,clear sky
Wanning,CN,18.8003,110.3967,81.95,84,100,10.16,overcast clouds
Miri,MY,4.4148,114.0089,78.94,94,40,2.84,scattered clouds
Butembo,CD,0.15,29.2833,59.27,98,98,3.18,moderate rain
Sidi+Ali,DZ,36.0998,0.4206,67.17,72,6,8.43,clear sky
Corinto,GR,37.9407,22.9573,79.75,53,2,6.46,clear sky
Boundiali,CI,9.5217,-6.4869,80.65,65,65,8.81,light rain
Lasa,IT,46.6166,10.7002,72.48,69,73,3.85,broken clouds
Tres+Arroyos,AR,-38.3739,-60.2798,60.62,45,0,21.56,clear sky
Starogard+Gdanski,PL,53.964,18.5264,54.9,100,81,5.79,broken clouds
Baglung,NP,28.2719,83.5898,66.63,96,100,3.87,overcast clouds
Lulea,SE,65.5842,22.1547,50.07,46,0,8.05,clear sky
Vadso,NO,70.0744,29.7487,36.48,69,75,19.57,light rain
Jahazpur,IN,25.6167,75.2833,98.02,25,35,14.09,scattered clouds
Nioro,GM,13.35,-15.75,103.33,14,4,5.44,clear sky
Igurusi,TZ,-8.85,33.85,66.54,72,42,3.13,scattered clouds
Marzuq,YE,14.4,46.4667,83.84,34,64,8.48,broken clouds
Bontang,ID,0.1333,117.5,82.44,79,69,6.87,broken clouds
Imbituba,BR,-28.24,-48.6703,67.89,92,98,7.63,light rain
Walcz,PL,53.2779,16.4712,54.1,63,85,11.25,overcast clouds
Port+Keats,AU,-14.25,129.55,67.51,44,96,9.04,overcast clouds
Astaneh-Ye+Ashrafiyeh,IR,37.2596,49.9444,68.85,89,0,1.95,clear sky
Mantua,IT,45.1667,10.7833,76.15,47,30,10.16,scattered clouds
Jega,NG,12.2175,4.3792,102.94,15,97,10.13,overcast clouds
Diapaga,BF,12.0708,1.7889,103.87,13,50,12.88,scattered clouds
Amapa,BR,1.0,-52.0,71.69,99,100,0.92,overcast clouds
Vanderhoof,CA,54.0166,-124.0198,51.1,56,55,14.25,broken clouds
Paignton,GB,50.4357,-3.5679,63.05,54,100,1.99,overcast clouds
Half+Moon+Bay,US,37.4636,-122.4286,70.12,75,90,3.44,overcast clouds
Damghan,IR,36.1683,54.348,80.82,21,0,3.44,clear sky
Marsabit,KE,2.3284,37.9899,71.35,48,45,12.66,scattered clouds
Prince+Rupert,CA,54.3161,-130.3201,46.49,87,90,5.75,light rain
Hansi,IN,29.1,75.9667,98.6,14,0,3.85,clear sky
Kaniama,CD,-7.5667,24.1833,75.45,41,49,1.7,scattered clouds
Darab,IR,28.7519,54.5444,90.48,10,64,4.18,broken clouds
Annau,TM,37.8876,58.516,89.1,27,75,5.14,broken clouds
Lewiston,US,44.1003,-70.2148,60.04,38,1,10.36,clear sky
Yar-Sale,RU,66.8333,70.8333,41.58,44,47,6.46,scattered clouds
Saldanha,ZA,-33.0117,17.9442,59.05,94,13,5.61,light rain
Padang,ID,-0.9492,100.3543,77.54,89,85,2.24,overcast clouds
Sabang,ID,5.8933,95.3214,81.86,79,99,22.59,overcast clouds
Tres+Coracoes,BR,-21.6969,-45.2533,81.05,44,49,6.91,scattered clouds
Adelaide,AU,-34.9333,138.6,49.59,86,0,5.75,clear sky
Shingu,JP,33.7333,135.9833,68.92,90,100,8.19,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,43.39,60,6,2.75,clear sky
Baryatino,RU,54.3121,34.521,60.37,84,63,2.21,broken clouds
Ahipara,NZ,-35.1667,173.1667,57.49,91,81,18.75,moderate rain
Teopantlan,MX,18.7167,-98.2667,81.48,42,78,5.88,broken clouds
Kiunga,PG,-6.1219,141.2906,73.0,98,97,2.62,overcast clouds
Sutesti,RO,45.2167,27.4333,65.55,67,100,3.47,overcast clouds
Asgabat,TM,37.95,58.3833,89.46,27,75,4.61,broken clouds
Jeremie,HT,18.65,-74.1167,82.53,71,24,5.44,few clouds
Lander,US,42.833,-108.7307,66.81,47,1,0.0,clear sky
Orlik,RU,52.5178,99.825,40.86,85,76,5.41,broken clouds
Jiuquan,CN,39.7432,98.5174,74.64,13,73,16.53,broken clouds
Mbekenyera,TZ,-10.0,38.9833,67.87,77,4,5.01,clear sky
Grammichele,IT,37.2123,14.6397,72.1,40,32,1.01,scattered clouds
Bilma,NE,18.6853,12.9164,100.4,5,5,5.59,clear sky
Rawson,AR,-43.3002,-65.1023,46.8,44,100,25.01,overcast clouds
Edd,ER,13.9297,41.6925,97.65,30,86,22.03,overcast clouds
Bani,DO,18.2833,-70.3333,87.24,49,1,14.25,clear sky
Unai,BR,-16.3575,-46.9061,89.58,34,51,8.88,broken clouds
Tual,ID,-5.6667,132.75,81.32,79,27,17.34,scattered clouds
Standerton,ZA,-26.9337,29.2415,58.6,31,0,4.59,clear sky
Vyartsilya,RU,62.1764,30.693,50.18,77,66,8.9,broken clouds
Middelburg,ZA,-25.7751,29.4648,58.05,24,21,5.84,few clouds
Itarema,BR,-2.9248,-39.9167,86.45,58,12,14.05,few clouds
Buraydah,SA,26.326,43.975,100.85,14,69,8.1,broken clouds
Saurimo,AO,-9.6608,20.3916,69.01,41,19,4.27,few clouds
Sakaiminato,JP,35.55,133.2333,58.98,94,75,5.75,broken clouds
Moerai,PF,-22.4333,-151.3333,78.01,83,86,15.43,overcast clouds
Loharu,IN,28.45,75.8167,99.57,17,7,8.1,clear sky
Kyra,RU,49.5776,111.9753,44.1,49,0,2.75,clear sky
Russkaya+Polyana,UA,49.417,31.9201,64.72,85,55,7.72,broken clouds
Khandyga,RU,62.6667,135.6,46.9,57,82,3.2,broken clouds
Chestermere,CA,51.0334,-113.8187,58.39,37,75,11.72,broken clouds
Belyy+Yar,RU,53.6039,91.3903,46.29,61,0,4.38,clear sky
Itacoatiara,BR,-3.1431,-58.4442,90.27,50,44,4.16,scattered clouds
Lazaro+Cardenas,MX,17.9583,-102.2,87.46,49,71,7.67,broken clouds
Constitucion,CL,-35.3333,-72.4167,58.71,62,47,3.06,scattered clouds
Helong,CN,42.5397,128.9972,45.01,93,78,1.79,broken clouds
Kargil,IN,34.5667,76.1,46.65,33,4,6.17,clear sky
Dvurechensk,RU,56.5982,61.0953,61.18,50,7,4.63,clear sky
Port+Moresby,PG,-9.4431,147.1797,74.62,78,40,11.5,scattered clouds
Yerbogachen,RU,61.2767,108.0108,49.82,65,74,7.67,broken clouds
Houma,US,29.5958,-90.7195,89.01,65,56,3.0,broken clouds
